a,b,statistic,p_raw,p_holm
mcts/off,mcts/on,8157.0,8.978003185024148e-22,1.7956006370048297e-21
mcts/off,mo_mcts/off,0.0,1.4768306122351322e-24,5.907322448940529e-24
mcts/off,mo_mcts/on,6185.0,1.1599190042674125e-27,6.959514025604474e-27
mcts/on,mo_mcts/off,9113.0,3.481858329735263e-19,3.481858329735263e-19
mcts/on,mo_mcts/on,0.0,3.148719442428699e-24,9.446158327286097e-24
mo_mcts/off,mo_mcts/on,6981.0,3.3924633163764314e-25,1.6962316581882156e-24
